wp,x,y,yaw_imu
wp500,13588058.28,8085296.908,86.75532381
wp501,13588057.88,8085295.832,86.83371845
wp502,13588057.48,8085294.755,86.92360363
wp503,13588057.07,8085293.677,87.0233717
wp504,13588056.67,8085292.599,87.13079643
wp505,13588056.28,8085291.52,87.2420605
wp506,13588055.88,8085290.44,87.34968638
wp507,13588055.49,8085289.36,87.44646916
wp508,13588055.09,8085288.279,87.53099579
wp509,13588054.7,8085287.198,87.60444415
wp510,13588054.31,8085286.116,87.66855129
wp511,13588053.92,8085285.034,87.72953495
wp512,13588053.53,8085283.951,87.79580593
wp513,13588053.14,8085282.868,87.87579006
wp514,13588052.75,8085281.785,87.97732085
wp515,13588052.37,8085280.701,88.08956206
wp516,13588051.98,8085279.617,88.1797054
wp517,13588051.6,8085278.533,88.22811023
wp518,13588051.21,8085277.448,88.25380116
wp519,13588050.83,8085276.364,88.28221055
wp520,13588050.44,8085275.279,88.33877074
wp521,13588050.06,8085274.194,88.44425466
wp522,13588049.68,8085273.109,88.57929806
wp523,13588049.29,8085272.023,88.70404571
wp524,13588048.91,8085270.938,88.78546054
wp525,13588048.53,8085269.853,88.83542105
wp526,13588048.14,8085268.767,88.88358841
wp527,13588047.76,8085267.682,88.95773049
wp528,13588047.38,8085266.597,89.05494855
wp529,13588046.99,8085265.512,89.14784962
wp530,13588046.61,8085264.427,89.21081476
wp531,13588046.23,8085263.342,89.2427564
wp532,13588045.84,8085262.258,89.25668603
wp533,13588045.46,8085261.173,89.26527909
wp534,13588045.07,8085260.089,89.27421899
wp535,13588044.68,8085259.005,89.28407661
wp536,13588044.3,8085257.922,89.29503904
wp537,13588043.91,8085256.839,89.29961901
wp538,13588043.52,8085255.756,89.28169175
wp539,13588043.13,8085254.673,89.22467202
wp540,13588042.74,8085253.591,89.11205836
wp541,13588042.34,8085252.51,88.94471745
wp542,13588041.95,8085251.429,88.76207352
wp543,13588041.55,8085250.348,88.60408495
wp544,13588041.16,8085249.268,88.47081373
wp545,13588040.76,8085248.189,88.34203241
wp546,13588040.36,8085247.11,88.19736566
wp547,13588039.96,8085246.031,88.02254232
wp548,13588039.56,8085244.953,87.81923946
wp549,13588039.15,8085243.876,87.59170626
wp550,13588038.75,8085242.799,87.34558612
wp551,13588038.34,8085241.722,87.10302439
wp552,13588037.94,8085240.645,86.89695424
wp553,13588037.53,8085239.569,86.75004588
wp554,13588037.12,8085238.494,86.64527157
wp555,13588036.72,8085237.418,86.55617769
wp556,13588036.31,8085236.343,86.46128476
wp557,13588035.9,8085235.269,86.36354462
wp558,13588035.48,8085234.194,86.27339782
wp559,13588035.07,8085233.12,86.20134248
wp560,13588034.66,8085232.046,86.15961968
wp561,13588034.25,8085230.973,86.16251368
wp562,13588033.83,8085229.899,86.21681395
wp563,13588033.42,8085228.826,86.30615969
wp564,13588033.01,8085227.753,86.40982106
wp565,13588032.59,8085226.68,86.51091187
wp566,13588032.17,8085225.608,86.60137187
wp567,13588031.76,8085224.535,86.67437667
wp568,13588031.34,8085223.463,86.73029239
wp569,13588030.93,8085222.391,86.79284732
wp570,13588030.51,8085221.318,86.89050629
wp571,13588030.09,8085220.246,87.04940174
wp572,13588029.68,8085219.174,87.24416058
wp573,13588029.26,8085218.102,87.40230835
wp574,13588028.84,8085217.03,87.50378858
wp575,13588028.42,8085215.959,87.5738066
wp576,13588028.01,8085214.887,87.63565609
wp577,13588027.59,8085213.815,87.69495775
wp578,13588027.17,8085212.743,87.75141205
wp579,13588026.76,8085211.671,87.80458919
wp580,13588026.34,8085210.599,87.85254953
wp581,13588025.92,8085209.527,87.89241481
wp582,13588025.51,8085208.454,87.9246302
wp583,13588025.09,8085207.382,87.95475534
wp584,13588024.68,8085206.309,87.98878242
wp585,13588024.26,8085205.237,88.03202503
wp586,13588023.85,8085204.164,88.08316374
wp587,13588023.43,8085203.091,88.13712906
wp588,13588023.02,8085202.018,88.18911403
wp589,13588022.61,8085200.944,88.23689082
wp590,13588022.19,8085199.871,88.27952813
wp591,13588021.78,8085198.797,88.31610687
wp592,13588021.37,8085197.723,88.34638119
wp593,13588020.96,8085196.648,88.37169263
wp594,13588020.55,8085195.574,88.39378235
wp595,13588020.14,8085194.499,88.41662271
wp596,13588019.74,8085193.423,88.44575094
wp597,13588019.33,8085192.348,88.4848135
wp598,13588018.92,8085191.271,88.52633727
wp599,13588018.52,8085190.195,88.55897349
wp600,13588018.11,8085189.118,88.57854074
wp601,13588017.71,8085188.041,88.59224815
wp602,13588017.31,8085186.963,88.6081491
wp603,13588016.91,8085185.885,88.62975209
wp604,13588016.51,8085184.806,88.65561023
wp605,13588016.12,8085183.726,88.68402762
wp606,13588015.72,8085182.645,88.71334635
wp607,13588015.33,8085181.564,88.74194782
wp608,13588014.94,8085180.482,88.7682153
wp609,13588014.55,8085179.399,88.7968156
wp610,13588014.16,8085178.314,88.86372058
wp611,13588013.78,8085177.229,89.01450831
wp612,13588013.4,8085176.143,89.25823125
wp613,13588013.02,8085175.055,89.51668842
wp614,13588012.64,8085173.967,89.70932566
wp615,13588012.27,8085172.876,89.89992603
wp616,13588011.9,8085171.785,90.25774031
wp617,13588011.54,8085170.692,90.83581301
wp618,13588011.18,8085169.597,91.36124603
wp619,13588010.83,8085168.5,91.71023294
wp620,13588010.49,8085167.401,92.01896981
wp621,13588010.16,8085166.3,92.41665482
wp622,13588009.83,8085165.197,92.95288106
wp623,13588009.52,8085164.092,93.65005494
wp624,13588009.22,8085162.984,94.33739787
wp625,13588008.93,8085161.873,94.73038028
wp626,13588008.65,8085160.76,95.00801168
wp627,13588008.38,8085159.645,95.57246868
wp628,13588008.13,8085158.527,96.37299269
